Date,Close,High,Low,Open,Volume
2017-12-18,139.828600,140.621600,139.016100,140.621600,2027561
2017-12-19,138.869300,140.915200,138.761600,139.995100,2284686
2017-12-20,137.234500,139.265800,137.068100,139.006400,2577242
2017-12-21,136.666700,138.233000,136.471000,137.293200,2579965
2017-12-22,137.694600,138.115500,135.599700,137.244300,3069074
2017-12-26,137.939300,138.781200,136.980000,137.254100,824471
2017-12-27,139.267500,139.946300,138.067200,138.332900,1014451
2017-12-28,140.595600,141.003900,139.257600,139.356000,1784800
2017-12-29,140.359500,141.185900,140.192200,140.841600,1129500
2018-01-02,138.844400,140.900600,138.628000,140.841600,1881211
2018-01-03,139.385500,140.192200,138.578800,138.765700,1770593
2018-01-04,137.349000,139.661000,137.319500,139.149400,1729564
2018-01-05,138.234500,138.421400,137.329400,137.959000,2119359
2018-01-08,139.710200,140.920300,138.382000,138.382000,1882127
2018-01-09,138.765700,139.946300,138.578800,139.798700,1581550
2018-01-10,135.381400,138.323000,133.827000,138.136100,3330524
2018-01-11,132.784200,135.775000,132.331600,135.765100,3244102
2018-01-12,130.846100,133.305600,130.393500,133.197400,3197282
2018-01-16,133.433500,135.765000,131.082200,131.082200,3193909
2018-01-17,134.427100,134.938600,133.354800,133.915600,1999706
2018-01-18,133.000600,134.456700,132.538200,134.368100,3416403
2018-01-19,135.391300,135.450300,132.567800,133.699100,3284691
2018-01-22,136.985000,136.985000,135.184700,135.460100,1826817
2018-01-23,138.913300,139.149400,136.945700,137.250700,2923425
2018-01-24,139.464200,140.369200,138.726400,138.814900,3061531
2018-01-25,140.644800,140.743200,139.208400,140.152900,2409540
2018-01-26,142.779700,142.784600,140.522300,140.821900,2107947
2018-01-29,141.992600,143.625700,141.353100,142.553400,3901721
2018-01-30,142.799300,143.301100,140.522000,141.549900,2440014
2018-01-31,145.308000,146.429600,142.887900,143.055100,3184697
2018-02-01,144.678400,146.941100,144.166800,145.622800,2351036
2018-02-02,142.868200,144.363600,141.894200,144.068400,2474550
2018-02-05,139.739700,143.920900,139.474100,141.805700,3000876
2018-02-06,137.900000,139.867600,135.401100,138.008200,3817038
2018-02-07,137.732700,140.025000,136.985000,137.585200,2245859
2018-02-08,131.406900,138.647700,131.298600,137.614700,3890078
2018-02-09,133.846700,134.712400,128.258700,132.174200,3977336
2018-02-12,134.023800,135.007600,131.662700,134.771500,3820973
2018-02-13,134.102500,134.702600,132.676000,133.827000,3710257
2018-02-14,133.285900,133.699100,130.472200,132.843200,4829308
2018-02-15,134.013900,134.712400,130.890400,133.364600,3223301
2018-02-16,137.752400,138.765700,133.600700,133.659800,3024737
2018-02-20,136.985000,138.421400,136.424300,136.906300,2220485
2018-02-21,135.214200,137.978700,135.115800,137.172000,2812090
2018-02-22,136.729200,138.205000,135.007600,135.725800,3075900
2018-02-23,139.572400,139.572400,136.621000,137.339200,1925002
2018-02-26,140.428400,140.635000,139.779000,139.838100,2214061
2018-02-27,138.421400,140.674300,133.610600,140.408700,4572523
2018-02-28,137.073600,139.326500,137.053900,139.021500,4015611
2018-03-01,133.177700,137.358900,132.725200,136.748900,3177951
2018-03-02,131.829900,132.567800,129.882000,132.449700,3224579
2018-03-05,134.594400,135.017400,131.111700,131.111700,2486090
2018-03-06,136.630900,138.155800,134.004100,134.515700,3144476
2018-03-07,137.732700,138.559100,135.401100,135.755300,2749973
2018-03-08,140.428400,140.556300,137.840900,138.234500,3025499
2018-03-09,141.254800,141.987700,140.221800,140.359500,2172253
2018-03-12,142.730500,143.340400,140.989100,140.989100,2443005
2018-03-13,143.881500,147.688800,142.966600,142.966600,2159068
2018-03-14,144.088100,144.934200,143.232200,144.127500,2467355
2018-03-15,144.275000,145.037500,143.547000,144.599700,2142766
2018-03-16,144.176700,144.816000,143.015800,143.999600,4063123
2018-03-19,142.769800,144.245500,141.687600,143.891400,2581653
2018-03-20,143.940500,145.288400,143.025600,143.025600,2491059
2018-03-21,140.025000,144.432400,139.877400,144.432400,2422311
2018-03-22,140.694000,142.840200,138.992000,139.572400,2454067
2018-03-23,139.966000,142.494300,139.611800,140.664500,2228627
2018-03-26,142.858400,143.153500,140.300500,141.894200,2172577
2018-03-27,142.120500,144.766900,140.654600,142.789500,3043186
2018-03-28,141.963100,143.837200,141.727000,141.972900,2423063
2018-03-29,142.986300,143.458500,141.284300,142.455000,2978285
2018-04-02,141.500700,144.609500,140.472600,143.369900,2705360
2018-04-03,139.129700,142.523900,138.116400,141.756500,3442378
2018-04-04,140.733300,141.225200,137.968800,138.696900,1956481
2018-04-05,141.746700,143.251900,140.536600,140.684100,2013386
2018-04-06,139.857700,142.061500,139.181900,141.185900,1527390
2018-04-09,140.871100,142.661600,140.054500,140.054500,1829726
2018-04-10,135.886600,142.591900,133.651500,141.919400,6323576
2018-04-11,138.378800,140.139200,134.838300,134.858000,2807615
2018-04-12,136.855800,139.249100,136.085400,139.249100,2805301
2018-04-13,137.370100,138.873300,136.593700,137.370100,1460389
2018-04-16,136.994200,138.497500,136.428900,138.250300,2073224
2018-04-17,139.466700,140.505100,136.796400,137.736000,2734506
2018-04-18,138.270000,139.595300,138.131600,139.259000,1773365
2018-04-19,135.906400,138.072200,135.174500,137.637100,2553131
2018-04-20,135.115200,137.370100,134.739400,135.461300,2659251
2018-04-23,136.677800,136.875600,135.273400,135.787700,1911348
2018-04-24,135.451400,137.627200,134.660200,137.192000,2430031
2018-04-25,134.235000,135.441500,133.869100,134.650400,1511866
2018-04-26,135.332800,136.193200,134.413000,134.818500,1794522
2018-04-27,133.750400,134.314100,132.059200,133.265800,2311137
2018-04-30,134.858000,136.222800,133.028400,133.463600,2548633
2018-05-01,133.611900,137.132700,132.375700,135.560200,3250088
